OrgDefinedId,Username,Last Name,First Name,Email,Calculated Final Grade Numerator,Calculated Final Grade Denominator,End-of-Line Indicator
#01400001,#ping.lee.2023,_,PING LEE,ping.lee.2023@computing.smu.edu.sg,,20,#
#01400002,#chee.teo.2022,_,TEO CHEE,chee.teo.2022@computing.smu.edu.sg,,20,#
#01400003,#david.2024,_,DAVID KONG,david.2024@computing.smu.edu.sg,,20,#
#01400004,#fen.lai.2022,_,FEN LAI,fen.lai.2022@computing.smu.edu.sg,,20,#
#01400005,#jing.lim.2021,_,JING LIM,jing.lim.2021@computing.smu.edu.sg,,20,#
#01400006,#xing.yan.2023,_,XING YAN,xing.yan.2023@computing.smu.edu.sg,,20,#
#01400007,#perfectsubmissionandscore.2023,,PERFECT,perfectsubmissionandscore.2023@computing.smu.edu.sg,,20,#
#01400008,#noq1.2023,_,NO Q1,noq1.2023@computing.smu.edu.sg,,20,#
#01400009,#noq2.2023,_,NO Q2,noq2.2023@computing.smu.edu.sg,,20,#
#01400010,#noq3.2023,_,NO Q3,noq3.2023@computing.smu.edu.sg,,20,#
#01400011,#noq1q2.2023,_,NO Q1 Q2,noq1q2.2023@computing.smu.edu.sg,,20,#
#01400012,#noq1q3.2023,_,NO Q1 Q3,noq1q3.2023@computing.smu.edu.sg,,20,#
#01400013,#noq2q3.2023,_,NO Q2 Q3,noq2q3.2023@computing.smu.edu.sg,,20,#
#01400014,#extraqnfolderq4.2023,_,EXTRA Q4,extraqnfolderq4.2023@computing.smu.edu.sg,,20,#
#01400015,#filesinwrongqnfolder.2023,_,FILES 1,filesinwrongqnfolder.2023@computing.smu.edu.sg,,20,#
#01400016,#noq1ajavaandclass.2023,_,NO JAVA AND CLASS,noq1ajavaandclass.2023@computing.smu.edu.sg,,20,#
#01400017,#noq1ajava.2023,_,NO JAVA,noq1ajava.2023@computing.smu.edu.sg,,20,#
#01400018,#onlycontainsclassfiles.2023,_,ONLY CLASS,onlycontainsclassfiles.2023@computing.smu.edu.sg,,20,#
#01400019,#missingdependencyclassfile.2023,_,MISSING DEPENDENCY,missingdependencyclassfile.2023@computing.smu.edu.sg,,20,#
#01400020,#nestedfolderq2insideq1.2023,_,NESTED 1,nestedfolderq2insideq1.2023@computing.smu.edu.sg,,20,#
#01400021,#nestedfolderq2q3insideq1.2023,_,NESTED 2,nestedfolderq2q3insideq1.2023@computing.smu.edu.sg,,20,#
#01400022,#nestedfolderq3insideq2q2insideq1.2023,_,NESTED 3,nestedfolderq3insideq2q2insideq1.2023@computing.smu.edu.sg,,20,#
#01400023,#mismatchqnfoldernameq1aaa.2023,_,MISMATCH 1,mismatchqnfoldernameq1aaa.2023@computing.smu.edu.sg,,20,#
#01400024,#mismatchqnfilenameq1aaa.2023,_,MISMATCH 2,mismatchqnfilenameq1aaa.2023@computing.smu.edu.sg,,20,#
#01400025,#q1folderq1afile.2023,_,MISMATCH 3,q1folderq1afile.2023@computing.smu.edu.sg,,20,#
#01400026,#sean.yeo.2024,_,SEAN YEO,sean.yeo.2024@computing.smu.edu.sg,,20,#
#01400027,#kayal.2023,_,KAYAL,kayal.2023@computing.smu.edu.sg,,20,#
#01400028,#matthew.2024,_,MATTHEW,matthew.2024@computing.smu.edu.sg,,20,#
#01400029,#jia.qian.2024,_,JIA QIAN,jia.qian.2024@computing.smu.edu.sg,,20,#
#01400030,#bernice.lim.2024,_,BERNICE LIM,bernice.lim.2024@computing.smu.edu.sg,,20,#
#01400031,#infiniteloop.2023,_,INFINITE LOOP,infiniteloop.2023@computing.smu.edu.sg,,20,#
#01400032,#wrongpackage.2023,_,WRONG PACKAGE,wrongpackage.2023@computing.smu.edu.sg,,20,#
#01400033,#duplicatedfoldernames.2023,_,DUPLICATE,duplicatedfoldernames.2023@computing.smu.edu.sg,,20,#
#01400034,#nestedfolderbutinvalidsubmission.2023,_,NESTED INVALID,nestedfolderbutinvalidsubmission.2023@computing.smu.edu.sg,,20,#
#01400035,#hongyao.2024,_,HONG YAO,hongyao.2024@computing.smu.edu.sg,,20,#
#01400036,#hongyee.2024,_,HONG YEE,hongyee.2024@computing.smu.edu.sg,,20,#
#01400037,#q1folderq1aafile.2023,_,MISMATCH 5,#q1folderq1aafile.2023@computing.smu.edu.sg,,20,#
#01400038,#q1aafolderq1afile.2023,_,MISMATCH 6,#q1aafolderq1afile.2023@computing.smu.edu.sg,,20,#
